+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                              ;
+----------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; Lab_3_Nios_processor_inst|the_cpu_0|the_cpu_0_nios2_oci|the_cpu_0_nios2_oci_debug                                                                  ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0|the_cpu_0_nios2_oci                                                                                            ; 154   ; 0              ; 0            ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0|cpu_0_register_bank_b|the_altsyncram|auto_generated                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0|cpu_0_register_bank_b                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0|cpu_0_register_bank_a|the_altsyncram|auto_generated                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0|cpu_0_register_bank_a                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0|the_cpu_0_test_bench                                                                                           ; 451   ; 3              ; 414          ; 3              ; 34     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0                                                                                                                ; 149   ; 0              ; 31           ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0_instruction_master                                                                                             ; 130   ; 0              ; 5            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0_data_master                                                                                                    ; 171   ; 31             ; 21           ; 31             ; 81     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_cpu_0_jtag_debug_module                                                                                              ; 108   ; 2              ; 4            ; 2              ; 92     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_ROM|the_altsyncram|auto_generated                                                                                    ; 50    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_ROM                                                                                                                  ; 53    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_ROM_s1                                                                                                               ; 107   ; 1              ; 4            ; 1              ; 94     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_RAM|the_altsyncram|auto_generated                                                                                    ; 50    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_RAM                                                                                                                  ; 52    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_RAM_s1                                                                                                               ; 106   ; 1              ; 4            ; 1              ; 93     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_OUT_LEDR_8_Bits                                                                                                      ; 14    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_OUT_LEDR_8_Bits_s1                                                                                                   ; 65    ; 1              ; 29           ; 1              ; 26     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_LEDG_1_bit                                                                                                           ; 7     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_LEDG_1_bit_s1                                                                                                        ; 54    ; 1              ; 33           ; 1              ; 12     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_KEY1_1_bit                                                                                                           ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_KEY1_1_bit_s1                                                                                                        ; 21    ; 1              ; 2            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_IN_MSB_1_bit                                                                                                         ; 8     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_IN_MSB_1_bit_s1                                                                                                      ; 55    ; 1              ; 33           ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_FLAG_1_bit                                                                                                           ; 7     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst|the_FLAG_1_bit_s1                                                                                                        ; 54    ; 1              ; 33           ; 1              ; 12     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Lab_3_Nios_processor_inst                                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
