what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1367567488537
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1367567488537
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1367567488537
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1367567488537
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1367567488537
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1367567488537
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1367567488537
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1367567488568
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367567488568
started,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1367567488583
started,bundle,com.altera.sbtgui.ui,12.0.0.263,"com.altera.sbtgui.ui",1367567488583
os,sysinfo,,,"win32",1367567488615
arch,sysinfo,,,"x86",1367567488615
ws,sysinfo,,,"win32",1367567488615
locale,sysinfo,,,"en_MY",1367567488615
processors,sysinfo,,,"2",1367567488615
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367567488615
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1367567488615
java.specification.name,sysinfo,,,"Java Platform API Specification",1367567488615
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367567488615
java.specification.version,sysinfo,,,"1.6",1367567488615
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367567488615
java.version,sysinfo,,,"1.6.0_23",1367567488615
java.vm.info,sysinfo,,,"mixed mode",1367567488615
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367567488615
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367567488615
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367567488615
java.vm.specification.version,sysinfo,,,"1.0",1367567488615
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1367567488615
java.vm.version,sysinfo,,,"19.0-b09",1367567488615
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1367567488739
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1367567488864
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1367567489395
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1367567489644
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1367567490315
started,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1367567490721
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1367567490861
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1367567490955
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1367567492265
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1367567492281
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367567492359
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1367567492858
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1367567493107
started,bundle,com.altera.sbtgui.integration,12.0.0.263,"com.altera.sbtgui.integration",1367567493622
started,bundle,com.altera.systemconsole,12.0.0.263,"com.altera.systemconsole",1367567493700
started,bundle,com.altera.utilities,12.0.0.263,"com.altera.utilities",1367567493997
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1367567494059
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1367567494059
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.263,"com.altera.systemconsole.designs.plugin",1367567494075
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1367567494324
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1367567495791
started,bundle,com.altera.systemconsole.scripting,12.0.0.263,"com.altera.systemconsole.scripting",1367567496103
started,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1367567499519
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1367567506945
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1367567506960
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367567507740
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1367567510782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567513481
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567516508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1367567516523
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1367567521952
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1367567525509
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1367567525540
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.openProject",1367567531187
error,log,,,"The project description file (.project) for 'hello_ucosii_1' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1367567531250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567531546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567538348
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAutomatically",1367567545165
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAutomatically",1367567551873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567554790
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567556475
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1367567556475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567558175
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567560952
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567561888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567563042
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367567563292
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1367567565506
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1367567565537
stopped,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1367567565537
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1367567565568
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1367567565584
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1367567565599
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1367567565615
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1367567565646
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1367567565677
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1367567565693
stopped,bundle,com.altera.sbtgui.ui,12.0.0.263,"com.altera.sbtgui.ui",1367567565693
stopped,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1367567565693
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1367567565708
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1367567565708
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1367567565724
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1367567565755
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1367567565755
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1367567565771
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1367567565896
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1367567566036
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1367567566036
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1367567566036
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1367567566036
stopped,bundle,com.altera.sbtgui.flash.plugin,12.0.0.263,"com.altera.sbtgui.flash.plugin",1367567566067
stopped,bundle,com.altera.sbtgui.gprof,12.0.0.263,"com.altera.sbtgui.gprof",1367567566067
stopped,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1367567566067
stopped,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1367567566067
stopped,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1367567566067
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1367567566161
